Date,Symbol,Price in ETH,Deposit Rate,Deposit Rewards
05-01-2020,USDT,0.00037476,0.04800773215426637809,0.1335961696063507556
05-02-2020,USDT,0.00037476,0.04800773215426637809,0.13531097991570794357
05-03-2020,USDT,0.00037476,0.04800773215426637809,0.13522686533990451064
05-04-2020,USDT,0.00037476,0.04800773215426637809,0.13520727801244370459
05-05-2020,USDT,0.00037476,0.04800773215426637809,0.13518769297847547371
05-06-2020,USDT,0.00037476,0.04800778071937946449,0.13516811853544414138
05-07-2020,USDT,0.00037476,0.04800781959139768601,0.13514854513876340603
05-08-2020,USDT,0.00037476,0.04800781959139768601,0.13512896695077348045
05-09-2020,USDT,0.000374232025761661,0.04269328515056177932,0.13421060112915016074
05-10-2020,USDT,0.000374232025761661,0.04269328515056177932,0.13419329160368163573
05-11-2020,USDT,0.000374232025761661,0.04269328515056177932,0.13417598390470627632
05-12-2020,USDT,0.000374232025761661,0.0426931737008040464,0.13415865717500835701
05-13-2020,USDT,0.000374232025761661,0.0426931737008040464,0.13414135317750499616
05-14-2020,USDT,0.000374232025761661,0.0426931737008040464,0.13412405100742631044
05-15-2020,USDT,0.000374232025761661,0.04548494811179358889,0.13453297496019277562
05-16-2020,USDT,0.000374232025761661,0.04546229063280235108,0.13451035730507699182
05-17-2020,USDT,0.000374232025761661,0.04546229063280235108,0.13449189087807649335
05-18-2020,USDT,0.000374232025761661,0.04546114947082811273,0.1344732186340809749
05-19-2020,USDT,0.000374232025761661,0.04546114947082811273,0.1344547568296761823
05-20-2020,USDT,0.000374232025761661,0.04546114947082811273,0.13443629709308211581
05-21-2020,USDT,0.000374232025761661,0.04546114947082811273,0.13441783942468274167
05-22-2020,USDT,0.000374232025761661,0.04546114947082811273,0.13439938382486234037
05-23-2020,USDT,0.000374232025761661,0.04546114947082811273,0.13438093029400390272
05-24-2020,USDT,0.000374232025761661,0.04546114947082811273,0.13436247883249073384
05-25-2020,USDT,0.000374232025761661,0.04546114947082811273,0.1343440294407048501
05-26-2020,USDT,0.000374232025761661,0.04540079541526901352,0.13431481341498573917
05-27-2020,USDT,0.000374232025761661,0.0454008332974883011,0.13429640047160768027
05-28-2020,USDT,0.000374232025761661,0.0454008332974883011,0.13427798302446929123
05-29-2020,USDT,0.000374232025761661,0.0454008332974883011,0.13425956764319658156
05-30-2020,USDT,0.000374232025761661,0.04540227110139323526,0.13424136585404522843
05-31-2020,USDT,0.000374232025761661,0.04288373535653999023,0.1337795900002876159
06-01-2020,USDT,0.000374232025761661,0.04288373535653999023,0.13376225085107820778
06-02-2020,USDT,0.000374232025761661,0.04288373535653999023,0.13374491355013519449
06-03-2020,USDT,0.000374232025761661,0.0428868872549949356,0.13372812776895291949
06-04-2020,USDT,0.000374232025761661,0.0428868872549949356,0.13371079283012990671
06-05-2020,USDT,0.000374232025761661,0.0428868872549949356,0.1336934597407697068
06-06-2020,USDT,0.000374232025761661,0.0428868872549949356,0.13367612850118185799
06-07-2020,USDT,0.000374232025761661,0.0428868872549949356,0.13365879911167551833
06-08-2020,USDT,0.000374232025761661,0.0428868872549949356,0.13364147157255827683
06-09-2020,USDT,0.000374232025761661,0.0428868872549949356,0.13362414588413853277
06-10-2020,USDT,0.000374232025761661,0.0428868872549949356,0.13360682204672430589
06-11-2020,USDT,0.000374232025761661,0.0428868872549949356,0.1335895000606220483
06-12-2020,USDT,0.000374232025761661,0.04288366984692526132,0.13357173444295358613
06-13-2020,USDT,0.000374232025761661,0.04288366984692526132,0.13355441750789237269
06-14-2020,USDT,0.000374232025761661,0.04320131419483294505,0.13359107183660640195
06-15-2020,USDT,0.000374232025761661,0.04320131419483294505,0.13357362427087005025
06-16-2020,USDT,0.000374232025761661,0.04320131419483294505,0.13355617858481838064
06-17-2020,USDT,0.000374232025761661,0.04320131419483294505,0.13353873477876396288
06-18-2020,USDT,0.000374232025761661,0.04320148364195014286,0.13352132082664343161
06-19-2020,USDT,0.000374232025761661,0.04320148364195014286,0.13350388071005185765
06-20-2020,USDT,0.000374232025761661,0.04366701130885111934,0.13356438832194016776
06-21-2020,USDT,0.000374232025761661,0.04366701130885111934,0.1335467551706406124
06-22-2020,USDT,0.000374232025761661,0.04366701130885111934,0.13352912394105747275
06-23-2020,USDT,0.000374232025761661,0.04372649201087481499,0.13351959387199698921
06-24-2020,USDT,0.000374232025761661,0.04373905458062310701,0.13350364777733322542
06-25-2020,USDT,0.000374232025761661,0.04373905458062310701,0.1334859921535212546
06-26-2020,USDT,0.000374232025761661,0.04372621109559443538,0.13346621969632861406
06-27-2020,USDT,0.0003748462802183,0.04428431021764219962,0.13330484300921519972
06-28-2020,USDT,0.0003748167371944,0.04428760553895995623,0.13329794116177562845
06-29-2020,USDT,0.0003748167371944,0.04428760553895995623,0.13328009161936751753
06-30-2020,USDT,0.000373612625871735,0.04442060131283171491,0.1357857219830107817
07-01-2020,USDT,0.000373612625871735,0.04442060131283171491,0.13576748428647040959
07-02-2020,USDT,0.000373612625871735,0.04442060131283171491,0.13574924861478517141
07-03-2020,USDT,0.000373612625871735,0.04442060131283171491,0.13573101496829757127
07-04-2020,USDT,0.000373612625871735,0.04442060131283171491,0.13571278334734886584
07-05-2020,USDT,0.000373612625871735,0.04530516756748098016,0.13583969064837046816
07-06-2020,USDT,0.000373612625871735,0.04531402257807175307,0.13582253220898237595
07-07-2020,USDT,0.000373612625871735,0.0450384700773150785,0.13576876725601163172
07-08-2020,USDT,0.000373612625871735,0.0450384700773150785,0.13575027699460886528
