Date,Symbol,Price in ETH,Deposit Rate,Deposit Rewards
05-01-2020,USDC,0.000372696593035759,0.017469451249595475,0.03424227103026732114
05-02-2020,USDC,0.000372696593035759,0.017469451249595475,0.0346849974512544016
05-03-2020,USDC,0.000372696593035759,0.01746945138862545954,0.03466663471014378105
05-04-2020,USDC,0.000372696593035759,0.01746945138862545954,0.03466481197767456567
05-05-2020,USDC,0.000372696593035759,0.01746945150551623678,0.03466298935276093281
05-06-2020,USDC,0.000372696593035759,0.0174695039611082455,0.03466122083008908642
05-07-2020,USDC,0.000372696593035759,0.01746953935242154573,0.03465939963032459417
05-08-2020,USDC,0.000372696593035759,0.01746953935242154573,0.03465757704698680164
05-09-2020,USDC,0.000374976792351768,0.01746349470371409968,0.0344169542203317396
05-10-2020,USDC,0.000374976792351768,0.01746349470371409968,0.03441514490552066666
05-11-2020,USDC,0.000374976792351768,0.01746349495280860506,0.03441333567387332027
05-12-2020,USDC,0.000374976792351768,0.01746349495280860506,0.03441152643919161599
05-13-2020,USDC,0.000374976792351768,0.01746349495280860506,0.03440971724460875204
05-14-2020,USDC,0.000374976792351768,0.01746349495280860506,0.03440790809014203043
05-15-2020,USDC,0.000374976792351768,0.01746344266149504202,0.03440604528548556582
05-16-2020,USDC,0.000374976792351768,0.01746343821146622182,0.03440423604050913723
05-17-2020,USDC,0.000374976792351768,0.01746343821146622182,0.0344024270152386839
05-18-2020,USDC,0.000374976792351768,0.01746526763226792958,0.03440249074426764936
05-19-2020,USDC,0.000374976792351768,0.01746526763226792958,0.03440068151060875492
05-20-2020,USDC,0.000374976792351768,0.01746526763226792958,0.03439887231718785585
05-21-2020,USDC,0.000374976792351768,0.01746526763226792958,0.03439706316402222516
05-22-2020,USDC,0.000374976792351768,0.01746421908980136224,0.03439418120076256934
05-23-2020,USDC,0.000374976792351768,0.01746421908980136224,0.03439237229365095951
05-24-2020,USDC,0.000374976792351768,0.01746421908980136224,0.03439056342683609049
05-25-2020,USDC,0.000374976792351768,0.01746421908980136224,0.03438875460033524055
05-26-2020,USDC,0.000374976792351768,0.01746316404068522633,0.03438586691770823721
05-27-2020,USDC,0.000374976792351768,0.01746316404068522633,0.03438405833836070693
05-28-2020,USDC,0.000374976792351768,0.01746316404068522633,0.03438224979936850225
05-29-2020,USDC,0.000374976792351768,0.01746067160493142697,0.03437884418846428622
05-30-2020,USDC,0.000374976792351768,0.01746067160493142697,0.03437703607341120948
05-31-2020,USDC,0.000374976792351768,0.01746067160493142697,0.034375227998741341
06-01-2020,USDC,0.000374976792351768,0.01746067176568651346,0.0343734200228617648
06-02-2020,USDC,0.000374976792351768,0.01746067176568651346,0.03437161202899634046
06-03-2020,USDC,0.000374976792351768,0.0174606719042511612,0.03436980413771848864
06-04-2020,USDC,0.000374976792351768,0.0174606719042511612,0.03436799622472711039
06-05-2020,USDC,0.000374976792351768,0.01746067260326464096,0.03436618901301200027
06-06-2020,USDC,0.000374976792351768,0.01746082991449738197,0.03436454169227770705
06-07-2020,USDC,0.000374976792351768,0.01746083000914881452,0.03436273394602357095
06-08-2020,USDC,0.000374976792351768,0.01746041419143646803,0.03436050176052426912
06-09-2020,USDC,0.000374976792351768,0.01746041419143646803,0.03435869409069956008
06-10-2020,USDC,0.000374976792351768,0.01746041419143646803,0.03435688646142792479
06-11-2020,USDC,0.000374976792351768,0.01746041690351957155,0.03435508155993624844
06-12-2020,USDC,0.000374976792351768,0.01746017077586946975,0.03435325688858426246
06-13-2020,USDC,0.000374976792351768,0.01746017077586946975,0.0343514494071430322
06-14-2020,USDC,0.000374976792351768,0.01746016005716414283,0.03434963101101144206
06-15-2020,USDC,0.000374976792351768,0.01746002601064399943,0.03434768690555932157
06-16-2020,USDC,0.000374976792351768,0.01746002601064399943,0.03434587956884677723
06-17-2020,USDC,0.000374976792351768,0.01746002601064399943,0.03434407227280404949
06-18-2020,USDC,0.000374976792351768,0.01746002621111123849,0.03434226451023839503
06-19-2020,USDC,0.000374976792351768,0.01746002621111123849,0.03434045729560018281
06-20-2020,USDC,0.000374976792351768,0.01746011058325029254,0.03433873601589413606
06-21-2020,USDC,0.000374976792351768,0.017460110722095711,0.0343369289316365005
06-22-2020,USDC,0.000374976792351768,0.017460110722095711,0.03433512182591784162
06-23-2020,USDC,0.000374976792351768,0.01746012914629338773,0.03433333341475280493
06-24-2020,USDC,0.000374976792351768,0.01746015538466786861,0.03433155304647484136
06-25-2020,USDC,0.000374976792351768,0.01746015538466786861,0.03432974605611304495
06-26-2020,USDC,0.000374976792351768,0.01746015538466786861,0.03432793910657685996
06-27-2020,USDC,0.000374976792351768,0.01746015066210121877,0.03432612723407106632
06-28-2020,USDC,0.000374976792351768,0.0174601298917608467,0.03432429415347886044
06-29-2020,USDC,0.000374976792351768,0.0174601298917608467,0.03432248733083225326
06-30-2020,USDC,0.000374976792351768,0.01788430558631604907,0.03347904526483173283
07-01-2020,USDC,0.000374976792351768,0.01788430558631604907,0.03347723983352734239
07-02-2020,USDC,0.000374976792351768,0.01788430558631604907,0.033475434445907858
07-03-2020,USDC,0.000374976792351768,0.01788430558631604907,0.03347362910199067136
07-04-2020,USDC,0.000374976792351768,0.01788430558631604907,0.03347182380179312001
07-05-2020,USDC,0.000374976792351768,0.01788435073702130123,0.03346997153931881577
07-06-2020,USDC,0.000374976792351768,0.01788435156479493238,0.03346816624180117385
07-07-2020,USDC,0.000374976792351768,0.01788430815847283332,0.03346631896174075831
07-08-2020,USDC,0.000374976792351768,0.01788430815847283332,0.03346451384118363916
