Date,Symbol,USD,priceInETH,Deposit Rate,aIncentivesAPY,vIncentivesAPY,totalLiquidity,utilizationRate,vEmissionPerSecond,totalVariableDebt,lifetimeDepositorsInterestEarned,availableLiquidity,aEmissionPerSecond,totalLiquidityNormalized,totalBorrowsNormalized,totalBorrowsVariableNormalized,availableLiquidityNormalized,Price in ETH
04-01-2021,WMATIC,0.3628974409845481347017216909918446,,0.02341235859080816992,0.05709792344610651588,0.13249176758754530219,390263754.881255418467083221,0.4309544999343334593,706597222222222222,168185921.32734671749551326,1033491606006886543773882,222077833.553908700971569961,706597222222222222,1749600.998954294841282062,61221.69276059415793775,61221.69276059415793775,1744038.548669069391437073,0.0007482182171385
04-01-2021,WBTC,58597.09552920002180325094047401831,,0.0203005981139011792,0.04470952534467032604,0.09894275422493892464,26700.74906828,0.45187265803240706504,706597222222222222,12065.33845294,2378235754,14635.41061534,706597222222222222,1.76043801,0.01971994,0.01971994,1.74071739,13.9663623724368535
04-01-2021,USDC,0.9995634311214836464615941823529927,,0.01782819168714060316,0.03245735343462328989,0.04869640232838669612,1383280573.182856,0.66652466881938127614,706597222222222222,921990625.924987,1675788370408,461289947.257869,706597222222222222,377968.542728,142823.267763,142823.267763,248006.086861,0.00037135
04-01-2021,WETH,1975.812277370001277844621827145667,,0.01358245902104369972,0.02131903955038288099,0.0611453730022664754,782058.382491815623802234,0.34866153403942189043,706597222222222222,272673.675347985397702329,543059779017123911880,509384.707143830226099905,706597222222222222,131.434795403834998652,0.835661308244029962,0.835661308244029962,130.956540331374802137,1
04-01-2021,DAI,0.9999564074000004727193920342762235,,0.03758562322879935825,0.05519308217397210065,0.06883993988608505116,815584142.707361122458346489,0.80175959283672390844,706597222222222222,653902410.181142380490690586,1762071265070004464098066,161681732.526218741967655903,706597222222222222,110587.950900210293549173,110114.14182106736114237,110114.14182106736114237,26392.295130359467368873,0.000370385
04-01-2021,USDT,1.001301756340618444875399527853876,,0.06713736943343280338,0.13060848640854065023,0.14422926872965851956,344007464.421046,0.9055615934193739277,706597222222222222,311519947.629281,1449552527154,32487516.791765,706597222222222222,100019.933483,59634.081926,59634.081926,52654.457605,0.00037108
04-01-2021,AAVE,387.0074473625000953470248066991485,,0,0.24300838790664815689,0,495540.300621046844556034,0,0,0,0,495540.300621046844556034,706597222222222222,190.846584579955258671,0.005,0.005,190.846584579955258671,0.13845433763858725
04-02-2021,WMATIC,0.3831914061000006107036396437539733,,0.02341235859080816992,0.05709337500765726228,0.13246727956011470935,390294845.890813250963355913,0.43099983027693893835,706597222222222222,168217012.336904549991785952,1033491606006886543773882,222077833.553908700971569961,706597222222222222,2138845.232339855295768208,74875.512470252170788706,74875.512470252170788706,2132152.790713467401895904,0.0007482182171385
04-02-2021,WBTC,59084.58176093881888662048986102382,,0.0203005981139011792,0.04470643213880838131,0.0989276067496810962,26702.59647389,0.45191057994488982532,706597222222222222,12067.18585855,2378235754,14635.41061534,706597222222222222,6.92974366,0.06162452,0.06162452,6.86811679,13.9663623724368535
04-02-2021,USDC,1.001434201200001596015729478478544,,0.01782819168714060316,0.03245559483325482211,0.04869244389648133079,1383355526.026009,0.66654273714941150273,706597222222222222,922065578.76814,1675788370408,461289947.257869,706597222222222222,532561.277315,486702.624104,486702.624104,103107.310096,0.00037135
04-02-2021,WETH,2134.890000000003402438239700005423,,0.01358245902104369972,0.0213181618754263174,0.06113815374973280709,782090.580064049790248554,0.3486883487305091292,706597222222222222,272705.872920219564148649,543059779017123911880,509384.707143830226099905,706597222222222222,286.920722551347465746,2.703781068729042517,2.703781068729042517,285.938554242188312699,1
04-02-2021,DAI,1.003440997800001599214021423796549,,0.03758562322879935825,0.05518677898480548115,0.06883013461176803122,815677295.111385193196124936,0.80178223239113181687,706597222222222222,653995562.585166451228469033,1762071265070004464098066,161681732.526218741967655903,706597222222222222,174404.812992486336759589,173435.899464692706347037,173435.899464692706347037,43148.443784118515522734,0.000370385
04-02-2021,USDT,1.001162268000000550879526344320303,,0.06713736943343280338,0.1305818412312266336,0.14419677695856086682,344077659.019318,0.90558085961070488728,706597222222222222,311590142.227553,1449552527154,32487516.791765,706597222222222222,107357.778315,144387.764836,144387.764836,12712.895727,0.00037108
04-02-2021,AAVE,402.9051995391818729791368713987123,,0,0.24300838790664815689,0,495540.300621046844556034,0,0,0,0,495540.300621046844556034,706597222222222222,519.810286799395722222,0.005,0.005,519.810286799395722222,0.13845433763858725
04-03-2021,WMATIC,0.359624929772455863069279939611657,,0.02341271752199747014,0.05708926668273708784,0.13244280599902747743,390322932.747323421055204863,0.43104845334639234528,706597222222222222,168248096.466361676628140378,1033494512283057396727416,222074836.280961744427064485,706597222222222222,3028712.605428828422994509,149831.766191470693396601,149831.766191470693396601,2974886.947830715745043276,0.0007482182171385
04-03-2021,WBTC,57856.13692457737549817142182897458,,0.02030059824361896672,0.04470333872351018745,0.09891246157634381127,26704.44426027,0.45194850083684062799,706597222222222222,12069.03354911,2378246097,14635.41071116,706597222222222222,7.77707288,0.20849337,0.20849337,7.71650033,13.9663623724368535
04-03-2021,USDC,1.002010219101632573405335480925547,,0.01782819191190595958,0.03245383631349379028,0.04868848578624312504,1383430483.513486,0.66656080568978351631,706597222222222222,922140537.706556,1675799342569,461289945.80693,706597222222222222,592201.450689,690959.519327,690959.519327,24506.780678,0.00037135
